id,"Alkalinity, total",Calcium,Chloride,Fluoride,Magnesium,Nitrate as N,Sodium,Specific Conductivity,Sulfate,Total Dissolved Solids,Hardness
38,120.0,24.0,7.0,0.12,7.6,1.8,14.0,280.0,9.6,210.0,100.0
39,617.0,87.3,179.0,1.2,71.2,4.4,96.0,1640.0,47.2,940.0,511.0
40,220.0,64.0,57.0,0.16,34.0,6.6,31.0,680.0,37.0,480.0,300.0
41,330.0,120.0,53.0,0.42,67.0,13.7,62.0,1300.0,220.0,890.0,490.0
42,140.0,23.0,21.0,0.16,11.0,4.0,46.0,420.0,13.0,250.0,100.0
43,158.0,46.0,24.0,0.26,21.0,5.2,60.0,489.0,137.0,510.0,263.0
44,150.0,28.0,23.0,0.13,17.0,3.2,27.0,400.0,21.0,270.0,140.0
45,180.0,77.7,45.0,0.31,17.0,1.4,45.0,740.0,110.0,480.0,280.0
46,200.0,88.0,237.0,0.34,47.0,0.2,230.0,1600.0,341.0,1170.0,391.0
47,110.0,23.0,2.7,0.29,3.1,0.52,27.0,230.0,11.0,160.0,81.3
48,360.0,153.0,146.0,0.1,90.0,1.5,56.0,1600.0,320.0,1070.0,752.0
49,78.0,14.0,45.0,0.2,9.0,0.8,34.0,290.0,5.0,156.0,71.0
50,140.0,52.0,45.0,0.49,6.6,5.9,49.0,520.0,28.0,320.0,160.0
51,130.0,12.18,14.0,0.16,4.152,0.2672,45.38,290.0,1.8,210.0,46.0
52,198.0,85.0,81.0,0.2,38.0,0.3,77.0,1046.0,240.0,715.0,373.0
53,130.0,26.0,65.0,0.22,12.0,0.9,51.0,500.0,11.0,320.0,110.0
54,370.0,69.89,82.8,0.21,32.51,0.9,88.0,928.0,84.6,530.0,288.0
55,160.0,64.0,11.0,0.57,14.0,6.1,15.0,490.0,33.0,300.0,220.0
56,184.0,58.0,17.0,0.3,17.0,0.1,24.0,390.0,17.0,268.0,193.0
57,230.0,99.0,49.0,0.17,18.0,4.5,39.0,770.0,93.0,510.0,330.0
58,190.0,61.0,18.0,0.26,12.0,0.83,11.0,360.0,32.0,240.0,200.0
59,130.0,25.0,6.9,0.17,15.5,3.81,17.0,320.0,11.0,240.0,128.0
60,150.0,60.0,81.0,0.4,19.0,0.86,79.0,840.0,160.0,420.0,230.0
61,210.0,74.0,49.7,0.15,22.1,2.3,20.0,670.0,49.0,380.0,275.0
62,270.0,89.0,80.0,0.13,46.0,4.2,49.0,860.0,75.0,620.0,410.0
63,140.0,57.0,68.0,0.24,21.0,2.9,52.0,660.0,78.0,430.0,230.0
64,160.0,33.0,10.0,0.3,9.5,2.5,28.0,368.0,10.0,215.0,110.0
65,300.0,128.0,84.0,0.1,46.0,14.4,98.0,1350.0,280.0,920.0,509.0
66,77.0,26.0,19.0,0.12,7.2,0.612,20.0,280.0,22.0,180.0,78.0
67,240.0,111.0,45.0,0.2,42.9,1.3,29.7,1020.0,170.0,660.0,510.0
68,320.0,77.32,59.0,0.1,27.73,6.904,45.14,900.0,25.0,570.0,299.753
69,200.0,89.0,12.0,0.23,14.0,1.4,13.0,580.0,73.0,380.0,270.0
70,190.0,85.0,22.0,0.53,14.0,5.1,28.0,700.0,93.0,380.0,290.0
71,170.0,60.0,28.0,0.13,15.0,13.0,31.0,550.0,14.0,400.0,230.0
72,280.0,80.0,420.0,2.9,37.0,7.5,400.0,2600.0,260.0,1600.0,350.0
73,199.0,72.4,22.7,0.28,16.7,2.89,26.8,571.0,79.1,383.0,353.0
74,290.0,34.0,126.0,0.2,68.0,1.8,54.0,1100.0,54.0,520.0,464.0
75,204.0,91.0,33.0,0.18,23.0,0.6,29.0,741.0,128.0,448.0,332.0
76,158.0,25.0,25.1,0.2,17.0,5.67,30.0,410.0,20.8,320.0,164.0
77,350.0,48.0,92.0,0.39,39.0,8.8,120.0,1000.0,22.0,590.0,280.0
78,80.0,24.0,28.0,0.15,5.0,1.6,23.0,280.0,4.4,200.0,83.0
79,151.0,65.0,86.0,0.55,7.0,0.81,55.0,600.0,18.0,350.0,190.0
80,91.0,19.0,4.4,0.11,5.9,1.0,11.0,180.0,1.5,120.0,67.0
81,189.0,73.2,64.0,1.8,30.0,3.1,69.0,670.0,200.0,430.0,366.7
82,260.0,83.0,62.0,0.13,32.0,6.1,29.0,800.0,38.0,500.0,339.0
83,203.0,24.0,38.0,2.5,9.8,0.9,78.0,491.0,14.0,202.0,85.0
84,123.0,33.0,10.6,0.216,13.0,0.5,9.9,337.0,23.2,186.0,140.0
85,590.0,46.0,50.0,0.39,110.0,9.9,130.0,1400.0,79.0,840.0,550.0
86,190.0,82.0,64.0,0.25,15.0,5.7,52.0,740.0,70.0,450.0,260.0
87,59.0,20.0,42.0,0.15,0.94,18.0,87.0,530.0,68.0,340.0,53.0
88,180.0,39.0,46.0,0.13,11.0,1.6,46.0,440.0,9.8,260.0,161.0
89,94.5,22.3,4.6,0.1,6.1,2.6,17.0,210.0,2.3,161.0,151.7
90,110.0,39.0,8.4,0.2,11.0,1.1,18.0,380.0,43.0,230.0,140.0
91,110.0,32.0,6.1,0.9,6.3,2.5,21.0,300.0,23.0,170.0,110.0
92,140.0,24.0,7.9,0.12,16.0,4.5,21.0,330.0,12.0,240.0,130.0
93,240.0,57.0,78.0,0.77,23.0,1.2,76.0,850.0,69.0,490.0,230.0
94,57.0,30.0,5.1,0.28,3.4,0.41,13.0,230.0,29.0,130.0,90.0
95,200.0,69.0,30.0,0.26,34.0,5.6,30.0,760.0,81.0,427.0,284.0
96,190.0,67.0,88.0,0.18,33.0,3.2,62.0,810.0,65.0,530.0,300.0
97,170.0,52.0,49.0,0.11,30.0,4.1,19.0,610.0,40.0,360.0,287.0
98,170.0,26.0,8.1,0.7,18.0,1.1,39.0,420.0,31.0,230.0,140.0
99,130.0,40.0,13.0,0.22,5.8,1.1,45.0,424.0,56.0,280.0,120.0
100,220.0,54.0,14.0,0.12,18.0,4.0,21.0,530.0,17.0,340.0,210.0
101,97.0,30.0,13.0,0.18,1.2,0.99,25.0,240.0,40.0,170.0,81.0
102,120.0,52.0,12.0,0.1,5.9,4.6,15.0,340.0,23.0,240.0,150.0
103,170.0,57.0,3.9,0.43,7.8,1.5,13.0,390.0,25.0,270.0,180.0
104,190.0,57.0,15.0,0.1,9.5,4.0,23.0,433.0,17.0,229.0,180.0
105,176.0,104.0,94.3,0.584,13.4,0.732,80.0,1020.0,209.0,898.0,360.0
106,150.0,67.0,150.0,0.21,51.0,0.5,20.0,850.0,38.0,570.0,380.0
107,110.0,9.3,3.1,0.2,16.0,0.26,17.0,240.0,8.7,180.0,89.0
108,140.0,80.0,50.0,0.62,16.0,1.0,34.0,840.0,200.0,570.0,310.0
109,250.0,87.7,32.0,0.48,24.0,4.7,31.0,740.0,70.0,450.0,301.0
110,140.0,52.0,21.0,0.25,12.0,7.1,30.0,570.0,49.0,280.0,170.0
111,150.0,38.0,10.0,0.1,5.7,1.0,27.0,353.0,9.6,192.0,130.0
112,220.0,98.0,38.0,0.2,54.0,0.2,51.0,1040.0,260.0,720.0,467.0
113,29.0,25.0,7.8,0.11,1.5,0.17,16.0,250.0,26.0,190.0,33.0
114,180.0,33.0,14.0,0.11,23.0,1.9,21.0,440.0,7.5,290.0,180.0
115,200.0,72.0,46.0,0.31,33.0,13.0,30.0,740.0,73.0,440.0,330.0
116,550.0,239.0,140.0,1.2,144.0,0.79,520.0,4640.0,1120.0,2340.0,1210.0
117,430.0,41.0,45.0,0.25,78.0,4.3,79.0,1000.0,71.0,580.0,430.0
118,150.0,13.0,6.2,0.11,26.0,0.49,7.7,290.0,6.1,160.0,130.0
119,83.0,27.0,1.4,0.16,5.9,0.75,5.2,250.0,3.9,120.0,92.0
120,86.0,37.0,27.0,0.95,7.7,0.56,60.0,580.0,140.0,360.0,120.0
121,230.0,45.0,74.0,0.6,35.0,1.2,130.0,1000.0,150.0,660.0,250.0
122,330.0,83.0,9.5,1.1,56.0,2.5,40.0,760.0,96.0,700.0,430.0
123,170.0,82.0,38.0,0.38,16.0,2.9,70.0,830.0,150.0,950.0,290.0
124,130.0,23.0,13.0,0.13,12.0,4.1,32.0,300.0,15.0,230.0,110.0
125,160.0,33.0,21.0,0.18,14.0,4.8,27.0,440.0,11.0,250.0,130.0
126,92.0,20.0,15.0,0.14,17.0,1.1,16.0,270.0,2.7,230.0,110.0
127,170.0,51.0,17.0,0.56,13.0,1.3,17.0,420.0,19.0,300.0,160.0
128,170.0,38.0,45.0,0.1,8.0,1.1,70.0,600.0,47.0,350.0,170.0
129,270.0,77.0,15.0,0.11,14.0,3.4,71.0,740.0,120.0,530.0,270.0
130,120.0,44.0,63.0,0.5,8.7,1.9,48.0,543.0,38.0,310.0,150.0
131,200.0,80.0,14.0,0.2,8.6,2.7,25.0,560.0,46.0,330.0,240.0
132,170.0,44.0,15.0,0.13,14.0,4.3,28.0,420.0,25.0,310.0,170.0
133,250.0,89.0,5.7,0.087,16.0,1.1,14.0,520.0,46.0,380.0,290.0
134,170.0,98.4,96.0,0.33,15.0,2.2,73.0,900.0,130.0,590.0,261.0
135,157.0,28.0,21.0,0.13,22.0,1.4,19.0,375.0,20.0,253.0,160.0
136,110.0,33.0,7.5,0.15,3.9,0.56,20.0,290.0,18.0,180.0,110.0
137,184.0,115.0,112.0,0.45,19.3,4.733,52.5,913.0,127.0,560.0,359.0
138,210.0,159.0,49.0,0.8,47.0,2.7,88.0,1380.0,424.0,980.0,566.0
139,300.0,160.0,150.0,0.3,4.3,1.1,92.0,790.0,260.0,950.0,550.0
140,200.0,38.0,6.4,0.8,29.0,2.95,17.1,300.0,10.6,248.0,214.0
141,190.0,40.0,27.0,0.15,22.0,5.2,22.0,420.0,15.0,320.0,200.0
142,130.0,76.0,32.0,0.29,11.0,0.7,22.0,440.0,110.0,280.0,210.0
143,130.0,22.0,9.4,0.12,18.0,3.9,17.8,340.0,8.8,240.0,120.0
144,58.8,22.8,66.7,0.116,6.15,0.097,25.6,326.0,4.39,189.0,82.1
145,190.0,84.0,39.0,0.23,16.0,4.5,37.0,670.0,76.0,430.0,270.0
146,187.0,113.0,77.2,0.33,22.5,2.17,54.7,974.0,124.0,590.0,314.0
147,120.0,100.0,160.0,1.4,23.0,5.6,95.0,1100.0,140.0,720.0,340.0
148,137.0,11.0,13.7,0.19,16.0,4.1,22.5,300.0,5.9,240.0,113.0
149,186.0,35.0,17.4,0.13,8.5,2.85,42.1,477.0,21.2,286.0,120.0
150,210.0,123.0,15.0,0.3,28.0,0.7,46.0,908.0,306.0,730.0,335.0
151,77.0,4.5,8.3,0.12,1.9,4.99,27.2,260.0,4.7,185.0,34.0
152,128.0,25.0,7.1,0.1,6.7,1.9,18.0,380.0,4.7,197.0,245.7
153,210.0,40.0,27.0,0.13,37.0,0.76,37.0,630.0,72.0,380.0,270.0
154,210.0,34.0,25.0,1.7,12.0,0.25,72.0,470.0,18.0,310.0,150.0
155,130.0,32.0,12.0,0.3,8.0,0.7,23.0,322.0,14.1,190.0,113.0
156,200.0,37.0,9.9,0.11,27.0,0.97,13.0,420.0,20.0,270.0,200.0
157,185.0,100.0,61.7,0.47,16.0,0.79,44.0,817.0,111.0,480.0,318.0
158,220.0,83.0,60.0,0.14,23.0,6.1,27.0,730.0,51.0,450.0,303.0
159,140.0,56.0,7.4,0.41,9.8,7.7,13.0,380.0,26.0,240.0,180.0
160,190.0,46.0,73.0,0.5,21.0,2.1,50.0,660.0,22.0,410.0,200.0
161,97.0,33.0,12.0,0.076,3.7,1.2,26.0,328.0,28.0,190.0,120.0
162,240.0,66.0,30.0,0.19,21.0,5.2,44.0,610.0,43.0,400.0,270.0
163,74.0,12.0,9.8,0.4,4.6,2.1,39.0,290.0,40.0,260.0,67.0
164,190.0,46.0,11.0,0.14,20.0,0.12,14.0,380.0,13.0,240.0,190.0
165,240.0,75.0,8.6,0.4,16.0,1.6,26.0,570.0,18.0,300.0,240.0
166,200.0,170.0,130.0,0.22,78.0,17.0,63.0,1500.0,350.0,1000.0,720.0
167,110.0,17.0,6.6,0.12,7.7,1.7,10.0,220.0,4.7,130.0,68.0
168,340.0,83.0,86.0,0.3,50.0,1.8,46.0,962.0,98.1,610.0,408.0
169,190.0,39.0,17.0,0.3,16.0,3.3,23.0,398.0,12.0,260.0,160.0
170,150.0,77.0,110.0,0.18,28.0,1.7,130.0,1200.0,220.0,720.0,240.0
171,40.0,6.8,2.3,0.18,2.0,0.61,3.6,69.0,2.2,120.0,32.0
172,250.0,77.0,8.1,0.59,19.24,0.7005,22.09,580.0,43.0,340.0,274.019
173,126.0,24.5,4.5,0.2,11.0,0.64,13.5,303.0,4.2,183.0,104.0
174,150.0,39.0,7.0,0.68,7.6,0.56,31.0,330.0,22.0,240.0,140.0
175,89.0,30.0,17.0,0.5,1.3,0.8,37.0,390.0,45.0,180.0,51.0
176,130.0,41.0,41.0,0.5,6.1,7.0,57.0,520.0,55.0,380.0,130.0
177,130.0,41.0,23.0,1.1,5.8,2.3,51.0,470.0,48.0,260.0,120.0
178,43.0,7.1,0.6,0.1,2.4,1.05,9.5,89.0,0.64,108.0,28.0
179,230.0,109.0,206.0,0.31,50.9,3.16,149.0,1500.0,218.0,920.0,465.0
180,120.0,81.0,46.0,0.1,30.0,0.8,33.0,788.0,88.0,410.0,326.0
181,203.0,58.0,21.3,0.1,23.0,3.68,16.7,519.0,23.7,306.0,242.0
182,68.0,130.0,160.0,0.13,14.0,23.0,170.0,1370.0,340.0,980.0,350.0
183,130.0,92.0,53.0,0.2,9.9,19.0,28.0,570.0,28.0,300.0,240.0
184,99.0,26.0,6.6,0.8,3.9,0.5,25.0,280.0,25.0,180.0,78.0
185,75.0,31.0,230.0,2.6,5.2,0.7,270.0,1400.0,250.0,870.0,98.0
186,100.0,16.0,8.4,0.14,12.0,1.0,11.0,240.0,3.8,180.0,90.0
187,218.0,14.0,8.0,0.59,5.5,0.61,78.0,480.0,25.0,380.0,62.0
188,190.0,84.0,30.0,0.37,13.0,3.2,21.0,520.0,39.0,360.0,270.0
189,85.0,16.0,35.0,0.19,17.0,5.4,24.0,310.0,13.0,230.0,120.0
190,160.0,29.0,8.3,0.13,15.0,4.2,21.0,320.0,9.3,240.0,130.0
191,170.0,88.0,67.0,0.27,20.0,7.9,86.0,1100.0,178.0,525.0,372.0
192,110.0,83.0,220.0,0.44,25.0,5.9,97.0,1080.0,53.0,620.0,320.0
193,150.0,47.0,98.0,1.5,11.0,1.5,130.0,900.0,150.0,500.0,180.0
194,234.0,120.0,480.0,0.16,66.3,5.93,104.0,1530.0,160.0,1040.0,500.0
195,140.0,40.0,9.8,0.21,6.2,3.4,26.0,350.0,29.0,210.0,130.0
196,227.0,63.0,184.0,0.16,39.5,2.64,134.0,1350.0,155.0,793.0,370.0
197,180.0,43.0,4.8,0.18,21.0,1.0,8.8,390.0,16.0,230.0,200.0
198,80.0,27.0,5.0,0.2,13.0,0.2,11.0,280.0,68.0,211.0,121.0
199,116.0,10.0,4.0,0.75,3.65,0.79,47.3,265.0,16.1,172.0,60.0
200,390.0,82.0,57.0,0.17,58.0,2.7,49.0,1000.0,84.0,600.0,444.0
201,88.0,18.0,7.1,0.13,5.2,0.2,10.0,200.0,1.7,152.0,79.0
202,220.0,82.0,79.0,0.24,12.0,1.0,46.0,770.0,27.0,410.0,210.0
203,142.0,53.0,40.0,0.4,10.0,0.7,39.0,529.0,47.0,328.0,142.0
204,340.0,100.0,14.0,1.1,37.0,0.35,43.0,909.0,120.0,570.0,440.0
205,188.0,88.1,38.5,0.46,15.1,0.77,41.7,705.0,114.0,414.0,259.0
206,150.0,44.0,6.8,0.3,9.0,4.1,15.0,380.0,16.0,250.0,160.0
207,180.0,85.0,68.0,0.24,7.5,0.0465,70.0,680.0,130.0,400.0,250.0
208,360.0,86.0,48.0,0.19,57.0,3.7,37.0,960.0,71.0,560.0,450.0
209,130.0,47.0,8.5,0.76,7.5,2.1,28.0,480.0,50.0,310.0,140.0
210,150.0,58.0,55.0,0.32,11.0,1.423,57.0,610.0,85.0,380.0,190.0
211,220.0,143.0,51.0,0.7,48.0,2.2,87.0,1380.0,376.0,970.0,554.0
212,150.0,14.0,4.6,0.26,16.0,1.0,11.0,300.0,2.9,230.0,110.0
213,140.0,8.4,8.0,0.42,5.8,0.41,60.0,310.0,22.0,180.0,45.0
214,208.0,151.0,127.0,0.39,27.6,5.53,64.0,1190.0,194.0,742.0,465.0
215,280.0,120.0,74.0,0.3,34.0,3.91,30.0,928.0,76.1,600.0,435.0
216,160.0,19.0,7.0,0.14,14.0,1.2,8.5,270.0,18.0,180.0,141.0
217,530.0,75.0,128.0,0.24,146.0,19.0,49.0,31400.0,136.0,950.0,788.0
218,220.0,76.0,94.0,0.31,31.0,2.0,61.0,905.0,97.0,620.0,320.0
219,275.0,62.0,67.0,0.13,29.0,0.2,49.0,764.0,13.0,483.0,138.0
220,32.0,7.5,3.9,0.14,2.7,0.079,5.0,80.0,0.78,140.0,31.0
221,190.0,45.0,22.0,0.2,17.0,9.5,57.0,613.0,42.1,360.0,182.0
222,190.0,48.0,30.0,1.5,13.0,3.2,53.0,560.0,28.0,300.0,180.0
223,210.0,66.0,8.6,0.82,16.0,2.0,28.0,550.0,63.0,350.0,230.0
224,90.0,35.0,22.0,0.1,11.0,14.1,25.0,392.0,13.0,300.0,133.0
225,310.0,130.0,200.0,0.3,62.0,0.7,59.0,1200.0,120.0,830.0,580.0
226,52.0,10.0,6.4,0.27,5.5,0.75,12.0,146.0,3.1,180.0,54.0
227,89.0,44.0,49.0,0.11,9.3,8.5,67.0,558.0,82.0,380.0,150.0
228,48.0,54.2,72.0,0.067,0.279,6.09,110.0,860.0,260.0,560.0,200.0
229,220.0,81.0,34.0,0.21,21.0,3.2,22.0,590.0,36.0,330.0,310.0
230,180.0,59.0,102.7,0.3,18.0,0.298,89.4,963.0,63.5,526.0,236.0
231,140.0,43.0,11.0,0.53,7.4,1.4,26.0,385.0,27.0,310.0,160.0
232,230.0,90.0,28.0,0.2,44.0,0.1,44.0,899.0,203.0,570.0,418.0
233,127.0,19.7,3.84,0.1,11.0,1.16,22.5,283.0,8.26,110.0,89.0
234,140.0,37.0,22.0,0.4,4.5,11.0,82.0,560.0,64.0,350.0,110.0
235,131.0,16.0,24.7,0.15,14.0,3.8,25.0,420.0,7.3,280.0,137.0
236,190.0,51.0,7.5,0.51,6.3,0.72,31.0,450.0,35.0,270.0,140.0
237,130.0,35.0,35.0,0.18,9.4,3.6,38.0,450.0,7.2,260.0,120.0
238,167.0,75.2,41.5,0.49,14.1,2.39,36.5,637.0,91.5,434.0,268.0
239,160.0,42.0,13.0,0.19,6.2,2.5,24.0,360.0,13.0,220.0,130.0
240,150.0,35.0,12.0,0.3,10.0,1.6,32.0,380.0,16.0,240.0,130.0
241,150.0,60.1,28.0,0.166,17.0,1.3,20.7,554.0,72.0,328.0,220.0
242,180.0,54.0,6.8,0.51,13.0,2.3,10.0,430.0,20.0,270.0,160.0
243,230.0,85.8,37.0,0.37,20.2,11.0,33.0,700.0,61.0,44.0,300.0
244,180.0,100.0,36.0,0.24,20.0,16.0,13.0,740.0,73.0,470.0,340.0
245,330.0,69.0,52.0,0.41,45.0,2.9,43.0,820.0,31.0,470.0,330.0
246,173.0,71.8,39.2,0.26,10.1,6.06,47.9,521.0,72.7,346.0,175.0
247,120.0,31.0,25.0,0.11,11.0,2.7,26.0,410.0,16.0,250.0,130.0
248,310.0,100.0,41.0,0.29,60.0,0.76,54.0,1100.0,290.0,770.0,520.0
249,80.0,18.0,9.0,0.1,5.0,5.1,24.0,261.0,8.0,180.0,65.5
250,160.0,44.0,28.0,0.22,15.0,5.0,51.0,595.0,60.0,380.0,180.0
251,160.0,45.0,42.0,0.24,5.6,0.51,35.0,380.0,5.3,330.0,150.0
252,201.0,123.0,450.0,0.32,52.0,12.0,154.0,1800.0,4.0,1160.0,521.0
253,131.0,31.5,47.0,0.1,2.7,0.4,72.0,409.0,5.3,260.0,225.6
254,100.0,26.0,6.8,0.2,4.8,1.5,20.0,230.0,13.0,190.0,86.0
255,86.0,29.0,26.0,0.1,4.5,2.9,22.0,290.0,10.0,170.0,90.0
256,280.0,120.0,79.0,0.26,46.0,19.92,88.0,1300.0,250.0,850.0,490.0
257,180.0,130.0,120.0,0.15,41.0,21.0,65.0,1200.0,180.0,1100.0,520.0
258,54.0,5.5,3.9,0.1,5.0,0.76,9.3,110.0,0.64,140.0,41.0
259,520.0,43.0,85.0,0.32,100.0,4.9,110.0,1300.0,100.0,790.0,530.0
260,128.0,25.0,7.2,0.19,16.7,5.24,21.0,320.0,10.6,256.0,130.0
261,115.0,37.0,9.0,0.18,12.0,0.5,20.0,250.0,104.0,231.0,144.0
262,160.0,120.0,130.0,0.14,34.0,7.7,110.0,1260.0,210.0,860.0,530.0
263,200.0,109.0,64.0,0.77,22.1,7.8,40.0,910.0,140.0,550.0,390.0
264,130.0,29.0,33.9,0.21,14.0,2.7,30.5,450.0,19.0,300.0,130.0
265,120.0,21.0,4.0,0.1,9.0,0.9,22.0,300.0,0.9,140.0,89.4
266,190.0,35.0,9.0,0.1,24.0,2.96,17.0,411.0,13.0,350.0,200.0
267,190.0,48.0,9.0,0.3,15.0,6.82,33.0,502.0,18.0,360.0,162.0
268,235.0,96.2,135.0,0.43,23.5,0.41,109.0,1510.0,156.0,818.0,329.0
269,160.0,44.0,56.0,0.38,9.1,2.9,77.0,680.0,110.0,470.0,150.0
270,200.0,55.6,49.0,0.144,30.1,5.54,38.3,765.0,73.7,411.0,253.0
271,120.0,18.0,33.0,0.4,4.9,1.62,85.0,510.0,46.0,270.0,63.0
272,100.0,20.0,5.5,0.13,13.0,0.2968,9.1,240.0,14.0,140.0,97.0
273,100.0,30.0,6.7,0.1,3.8,3.0,16.0,260.0,13.0,130.0,90.0
274,160.0,47.0,40.0,0.13,19.0,1.8,20.0,470.0,43.0,310.0,194.0
275,220.0,69.0,44.0,0.18,40.0,1.9,33.0,650.0,47.0,370.0,280.0
276,290.0,43.0,90.0,0.2,16.0,0.09,153.0,980.0,77.0,560.0,157.0
277,190.0,62.0,58.0,0.56,18.7,8.6,50.0,660.0,44.0,450.0,230.0
278,150.0,45.0,15.0,0.21,15.0,6.42,24.0,430.0,12.0,270.0,180.0
279,120.0,23.0,50.0,0.23,12.0,1.4,45.0,440.0,13.0,300.0,100.0
280,250.0,31.0,9.4,0.15,38.0,0.49,17.0,540.0,11.0,260.0,250.0
281,107.0,13.3,12.1,0.1,10.0,1.2,32.0,270.0,5.26,164.0,65.0
282,68.0,15.0,20.4,0.14,4.7,1.9,20.0,270.0,1.2,220.0,63.0
283,440.0,110.0,150.0,2.0,100.0,3.1,220.0,2040.0,370.0,1400.0,610.0
284,190.0,56.0,58.0,0.37,10.0,3.6,76.0,740.0,160.0,470.0,270.0
285,201.0,99.9,86.6,0.435,20.8,2.31,52.6,880.0,96.6,524.0,315.0
286,94.0,19.0,15.0,1.6,1.2,2.6,57.0,360.0,37.0,230.0,52.0
287,124.0,34.1,17.0,0.4,18.0,1.59,36.0,353.0,35.0,230.0,110.0
288,76.0,21.0,270.0,0.3,18.0,1.0,147.0,1000.0,23.0,618.0,127.0
289,280.0,92.0,92.0,0.71,28.0,0.7,49.0,840.0,32.0,510.0,340.0
290,131.0,22.0,20.4,0.1,19.4,2.55,18.6,333.0,6.8,204.0,136.0
291,87.0,12.0,6.6,0.19,7.3,0.44,19.0,200.0,5.4,170.0,60.0
292,89.0,49.0,34.0,0.19,3.5,1.5,27.0,423.0,40.0,280.0,140.0
293,110.0,41.8,25.8,0.1,9.1,2.3,44.0,500.0,45.0,269.0,169.1
294,120.0,36.0,1.3,0.3,8.9,2.9,6.2,270.0,15.0,170.0,130.0
295,120.0,34.0,27.0,0.58,5.8,1.8,46.0,440.0,53.0,280.0,110.0
296,130.0,30.0,100.0,0.35,17.0,1.7,47.0,590.0,2.3,400.0,150.0
297,117.0,41.0,13.8,0.395,16.0,5.6,12.0,386.0,8.74,101.0,140.0
298,67.0,28.0,2.2,0.31,5.1,0.5,71.0,460.0,160.0,300.0,90.0
